player_id,match_id,shot,goal,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,started,pos,min,player_rank
3341,2058004,3,1,0,124,120,1,0,1,3,0,0,3,0,1,0,10,6,0,0,2,0,True,right CB,120.0,0.0161
3345,2057960,0,0,0,27,24,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,False,central MF,20.0,0.0047
3345,2057965,2,0,0,86,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,central MF,74.0,0.0111
3346,2057960,1,0,1,66,62,1,0,0,1,0,0,5,0,0,0,7,3,0,0,0,0,True,central MF,90.0,0.0127
3346,2057963,1,0,0,93,87,1,0,0,1,1,0,2,0,0,0,5,2,0,0,0,0,True,central MF,90.0,0.0248
3346,2057965,1,0,0,62,56,1,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,True,central MF,90.0,-0.001
3346,2058004,1,0,0,77,70,2,0,0,0,0,0,6,0,0,0,13,6,0,0,0,0,True,central MF,120.0,0.0042
3349,2058006,0,0,0,25,24,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,False,left FW,35.0,0.007
3353,2057960,1,0,0,65,60,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,True,left FW,70.0,0.0056
3353,2057963,0,0,0,81,66,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,True,left FW,71.0,-0.0042
3353,2057965,2,0,1,85,76,0,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,True,left FW,90.0,0.0546
3353,2058004,2,1,0,47,42,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,left FW,53.0,0.018
3355,2057972,1,0,0,134,128,0,0,5,1,1,0,7,0,3,0,5,2,0,0,0,0,True,central MF,90.0,0.0307
3355,2057974,0,0,0,57,50,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,True,central MF,90.0,0.0028
3355,2057976,0,0,0,78,69,4,0,1,0,0,0,2,0,2,0,8,5,0,0,1,0,True,central MF,90.0,0.0062
