name,foot,goal,dist_m,dist_ft,time,match_id,period,team_id,player_id,shot_id,accurate,shot_loc,counter,opportunity,x1,y1,x2,y2,H1,H2,E1,shot_loc_desc,time2,min
E. Cavani,left,False,10.959896103636202,35.94845921992674,730.608594,2057957,1H,15670,21174,259527118,False,otl,False,True,91,37,0,0,2824.933804,2937.8333780000003,,out high left,730.608594,12.0
C. Sánchez,right,False,10.806577996873017,35.4455758297435,1204.071576,2057957,1H,15670,86340,259527307,True,gl,False,True,96,23,0,0,2824.933804,2937.8333780000003,,goal center left,1204.071576,20.0
Fahad Al Muwallad,right,False,11.565859781702354,37.93602008398372,1227.792346,2057957,1H,16521,122623,259527345,False,otr,True,True,94,76,100,100,2824.933804,2937.8333780000003,,out high right,1227.792346,20.0
E. Cavani,right,False,12.074922384947243,39.60574542262695,1470.360312,2057957,1H,15670,21174,259527372,False,,True,True,91,69,0,0,2824.933804,2937.8333780000003,,,1470.360312,24.0
Hattan Bahbir,left,False,26.96787158101284,88.4546187857221,1522.67102,2057957,1H,16521,122615,259527437,True,gt,False,True,77,76,100,100,2824.933804,2937.8333780000003,,goal high center,1522.67102,25.0
Hattan Bahbir,right,False,9.252444961198094,30.348019472729746,1699.8901420000002,2057957,1H,16521,122615,259527521,False,ot,False,True,92,58,100,100,2824.933804,2937.8333780000003,,out high center,1699.8901420000002,28.0
Salem Al Dawsari,right,False,30.723777105403236,100.7739889057226,2257.204,2057957,1H,16521,122832,259527759,False,otl,False,False,72,51,100,100,2824.933804,2937.8333780000003,,out high left,2257.204,37.0
C. Sánchez,head/body,False,9.033061038346858,29.628440205777693,991.3086080000004,2057957,2H,15670,86340,259528216,False,otl,True,True,93,63,0,0,2824.933804,2937.8333780000003,,out high left,3816.242412,63.0
L. Suárez,left,False,16.94279932663136,55.57238179135086,1086.433277,2057957,2H,15670,7972,259528258,False,,False,False,87,75,0,0,2824.933804,2937.8333780000003,,,3911.367081,65.0
M. Cáceres,head/body,False,8.095889341048332,26.55451703863853,1375.0278340000004,2057957,2H,15670,20460,259528326,False,otr,False,True,93,57,0,0,2824.933804,2937.8333780000003,,out high right,4199.961638000001,69.0
M. Cáceres,right,False,11.56555620149762,37.93502434091219,1912.914006,2057957,2H,15670,20460,259528489,False,,False,True,90,40,0,0,2824.933804,2937.8333780000003,,,4737.847809999999,78.0
L. Torreira,right,False,27.517643980726255,90.25787225678211,2055.568612,2057957,2H,15670,333571,259528533,False,,False,False,75,44,0,0,2824.933804,2937.8333780000003,,,4880.502415999999,81.0
E. Cavani,head/body,False,12.51004423263563,41.032945083044865,2057.130286,2057957,2H,15670,21174,259528537,False,ol,False,True,89,59,0,0,2824.933804,2937.8333780000003,,out center left,4882.06409,81.0
E. Cavani,right,False,14.28234494787183,46.846091429019594,2416.952373,2057957,2H,15670,21174,259528644,True,gb,False,True,87,48,0,0,2824.933804,2937.8333780000003,,goal low center,5241.886177,87.0
L. Suárez,right,False,17.55900965608539,57.59355167196008,2598.404181,2057957,2H,15670,7972,259528744,False,obr,False,False,84,51,0,0,2824.933804,2937.8333780000003,,out low right,5423.337985,90.0
Yasir Al Shahrani,right,False,31.22700174404357,102.42456572046291,2650.071988,2057957,2H,16521,122940,259528858,False,,False,False,73,23,100,100,2824.933804,2937.8333780000003,,,5475.005792,91.0
Mohammed Kanno,head/body,False,10.806248009369396,35.444493470731615,2691.403083,2057957,2H,16521,284147,259528862,True,gr,False,True,91,62,100,100,2824.933804,2937.8333780000003,,goal center right,5516.3368869999995,91.0
Yasir Al Shahrani,right,False,23.249366799173263,76.2579231012883,2759.022151,2057957,2H,16521,122940,259528883,True,glb,False,True,80,29,100,100,2824.933804,2937.8333780000003,,goal low left,5583.955954999999,93.0
L. Suárez,left,True,6.743803914705706,22.119676840234714,1334.753085,2057957,1H,15670,7972,259528907,True,gr,False,True,94,54,0,0,2824.933804,2937.8333780000003,,goal center right,1334.753085,22.0
M. Vecino,right,False,31.95305164518719,104.80600939621398,64.743361,2057958,1H,15670,116349,260303763,False,olb,False,True,71,42,0,0,2830.736829,2971.510322,,out low left,64.743361,1.0
D. Cheryshev,right,False,18.01031892006635,59.073846057817626,711.756492,2057958,1H,14358,4513,260303980,True,gc,False,True,84,39,100,100,2830.736829,2971.510322,,goal center,711.756492,11.0
D. Laxalt,left,False,25.68493018405929,84.24657100371446,1360.903367,2057958,1H,15670,116269,260304111,False,,False,True,78,26,0,0,2830.736829,2971.510322,,,1360.903367,22.0
R. Bentancur,right,False,10.115705872058559,33.17951526035207,1666.255003,2057958,1H,15670,361807,260304197,True,gb,True,True,91,56,0,0,2830.736829,2971.510322,,goal low center,1666.255003,27.0
R. Bentancur,left,False,12.674952695079378,41.57384483986036,800.4813869999998,2057958,2H,15670,361807,260304871,False,,False,False,92,75,0,0,2830.736829,2971.510322,,,3631.2182159999998,60.0
D. Godín,right,False,58.316994980537196,191.279743536162,1372.1803760000005,2057958,2H,15670,3433,260305063,False,obr,False,False,47,38,0,0,2830.736829,2971.510322,,out low right,4202.917205000001,70.0
E. Cavani,right,False,14.560623645984396,47.75884555882882,1414.37986,2057958,2H,15670,21174,260305080,False,obr,False,True,87,42,0,0,2830.736829,2971.510322,,out low right,4245.116689,70.0
R. Zobnin,right,False,26.71869741136345,87.63732750927211,1489.0013909999998,2057958,2H,14358,103682,260305193,False,,False,False,77,74,100,100,2830.736829,2971.510322,,,4319.738219999999,71.0
A. Dzyuba,left,False,16.191778682096665,53.10903407727706,1689.9157219999995,2057958,2H,14358,101669,260305260,False,otl,False,True,86,64,100,100,2830.736829,2971.510322,,out high left,4520.652550999999,75.0
C. Rodríguez,left,False,28.38862668393806,93.11469552331683,2215.7330330000004,2057958,2H,15670,70095,260305297,True,gt,False,True,75,30,0,0,2830.736829,2971.510322,,goal high center,5046.469862,84.0
E. Cavani,left,False,12.51004423263563,41.032945083044865,2426.505505,2057958,2H,15670,21174,260305348,False,,False,True,89,59,0,0,2830.736829,2971.510322,,,5257.2423340000005,87.0
C. Rodríguez,left,False,21.325873074976325,69.94886368592235,2659.8446110000004,2057958,2H,15670,70095,260305412,True,gtr,False,True,82,28,0,0,2830.736829,2971.510322,,goal high right,5490.58144,91.0
D. Godín,head/body,False,5.486000000000001,17.99408,2689.085007,2057958,2H,15670,3433,260305415,True,gl,False,True,95,50,0,0,2830.736829,2971.510322,,goal center left,5519.821836,91.0
E. Cavani,left,True,1.1565556201497618,3.7935024340912182,2691.1300490000003,2057958,2H,15670,21174,260305416,True,gl,False,True,99,49,0,0,2830.736829,2971.510322,,goal center left,5521.866878000001,92.0
L. Torreira,right,False,29.121247291968793,95.51769111765763,2969.831277,2057958,2H,15670,333571,260305516,False,,False,False,74,34,0,0,2830.736829,2971.510322,,,5800.568106,96.0
Hussain Al Mogahwi,right,False,26.174941889572555,85.85380939779797,161.67349000000002,2057959,1H,16521,122918,260307954,False,olb,False,True,77,69,0,0,3039.273068,3031.5160130000004,,out low left,161.67349000000002,2.0
Salem Al Dawsari,right,False,29.36142393349648,96.30547050186844,694.8413370000001,2057959,1H,16521,122832,260308255,False,otr,False,True,74,31,0,0,3039.273068,3031.5160130000004,,out high right,694.8413370000001,11.0
Salem Al Dawsari,right,False,20.926858264022812,68.64009510599482,868.027171,2057959,1H,16521,122832,260308345,False,ot,True,True,81,55,0,0,3039.273068,3031.5160130000004,,out high center,868.027171,14.0
Mohamed Salah,left,True,20.49745445713931,67.23165061941692,1287.226983,2057959,1H,16129,120353,260308403,True,gc,True,True,82,65,100,100,3039.273068,3031.5160130000004,,goal center,1287.226983,21.0
Mohamed Salah,left,False,14.263599999999999,46.78460799999999,1432.263559,2057959,1H,16129,120353,260308441,False,obr,True,True,87,50,100,100,3039.273068,3031.5160130000004,,out low right,1432.263559,23.0
Trézéguet,right,False,14.725066764194992,48.29821898655957,1974.893486,2057959,1H,16129,220112,260308587,False,otr,False,True,87,40,100,100,3039.273068,3031.5160130000004,,out high right,1974.893486,32.0
Trézéguet,right,False,20.936541637111418,68.67185656972545,2021.320472,2057959,1H,16129,220112,260308601,False,or,False,True,82,31,100,100,3039.273068,3031.5160130000004,,out center right,2021.320472,33.0
Hattan Bahbir,left,False,30.730307496183634,100.79540858748231,1498.922641,2057959,1H,16521,122615,260308630,True,gb,False,True,72,52,0,0,3039.273068,3031.5160130000004,,goal low center,1498.922641,24.0
Yasir Al Shahrani,right,False,24.287668023144995,79.66355111591558,1783.938479,2057959,1H,16521,122940,260308715,False,otr,False,True,79,29,0,0,3039.273068,3031.5160130000004,,out high right,1783.938479,29.0
Mohammed Al Burayk,right,False,29.54310512458871,96.90138480865096,1880.638438,2057959,1H,16521,292954,260308739,False,otl,False,False,74,71,0,0,3039.273068,3031.5160130000004,,out high left,1880.638438,31.0
Abdullah Otayf,right,False,15.378207596790986,50.44052091747443,2455.367022,2057959,1H,16521,139393,260308890,False,,False,True,86,52,0,0,3039.273068,3031.5160130000004,,,2455.367022,40.0
Trézéguet,head/body,False,14.380355055508884,47.16756458206914,678.6899210000001,2057959,2H,16129,220112,260308988,False,obr,False,True,87,45,100,100,3039.273068,3031.5160130000004,,out low right,3717.962989,61.0
Mohamed Elneny,right,False,26.826029823475555,87.98937782099982,1518.05958,2057959,2H,16129,120339,260309202,False,ot,False,True,76,64,100,100,3039.273068,3031.5160130000004,,out high center,4557.332648,75.0
Amr Warda,right,False,22.216727724903592,72.87086693768377,1870.824842,2057959,2H,16129,388928,260309296,False,,False,False,81,29,100,100,3039.273068,3031.5160130000004,,,4910.09791,81.0
Hattan Bahbir,right,False,13.748020253476499,45.093506431402915,539.9510769999997,2057959,2H,16521,122615,260309400,False,otr,False,True,89,68,0,0,3039.273068,3031.5160130000004,,out high right,3579.2241449999997,59.0
