player_id,match_id,name,team,pos,throw,corner
101606,2057976,A. Musa,Nigeria,FWD,3,0
146459,2057976,M. Meza,Argentina,MID,2,0
209792,2057976,B. Idowu,Nigeria,DEF,8,0
265366,2057976,W. Ndidi,Nigeria,MID,1,0
285396,2057976,C. Pavón,Argentina,FWD,0,3
285508,2057976,K. Iheanacho,Nigeria,FWD,0,1
424624,2057976,O. Etebo,Nigeria,FWD,0,2
93,2057977,J. Guðmunds­son,Iceland,MID,0,4
3476,2057977,I. Rakitić,Croatia,MID,0,1
8287,2057977,L. Modrić,Croatia,MID,1,3
14812,2057977,I. Perišić,Croatia,MID,2,0
54451,2057977,B. Sævarsson,Iceland,DEF,2,0
69404,2057977,M. Kovačić,Croatia,MID,0,1
69964,2057977,J. Pivarić,Croatia,DEF,9,0
77521,2057977,A. Gunnarsson,Iceland,MID,7,0
77558,2057977,G. Sigurðsson,Iceland,MID,1,6
135207,2057977,H. Magnússon,Iceland,DEF,4,0
212604,2057977,T. Jedvaj,Croatia,DEF,13,0
3310,2057978,Marcelo,Brazil,DEF,4,0
3802,2057978,Philippe Coutinho,Brazil,FWD,1,1
14922,2057978,R. Rodríguez,Switzerland,DEF,4,1
20465,2057978,S. Lichtsteiner,Switzerland,DEF,11,0
20938,2057978,V. Behrami,Switzerland,MID,1,0
40810,2057978,Neymar,Brazil,FWD,0,3
49872,2057978,X. Shaqiri,Switzerland,MID,0,1
49977,2057978,M. Lang,Switzerland,DEF,1,0
49997,2057978,S. Zuber,Switzerland,MID,1,0
50102,2057978,F. Schär,Switzerland,DEF,1,0
70083,2057978,Danilo,Brazil,DEF,5,0
105333,2057978,Willian,Brazil,MID,0,3
7891,2057979,B. Ivanović,Serbia,DEF,14,0
8306,2057979,A. Kolarov,Serbia,DEF,9,0
11155,2057979,B. Ruiz,Costa Rica,MID,1,0
20941,2057979,A. Ljajić,Serbia,FWD,0,4
55977,2057979,C. Gamboa,Costa Rica,DEF,4,0
55988,2057979,C. Bolaños,Costa Rica,MID,0,2
125250,2057979,Ó. Duarte,Costa Rica,DEF,2,0
125260,2057979,D. Guzmán,Costa Rica,MID,0,3
125273,2057979,D. Colindres,Costa Rica,FWD,1,0
125284,2057979,J. Acosta,Costa Rica,DEF,1,0
125286,2057979,G. González,Costa Rica,DEF,1,0
125512,2057979,F. Calvo,Costa Rica,DEF,12,0
127537,2057979,L. Milivojević,Serbia,MID,1,0
3310,2057980,Marcelo,Brazil,DEF,6,0
15808,2057980,Roberto Firmino,Brazil,FWD,1,0
40707,2057980,Fágner,Brazil,DEF,10,0
40810,2057980,Neymar,Brazil,FWD,2,7
55977,2057980,C. Gamboa,Costa Rica,DEF,2,0
55982,2057980,B. Oviedo,Costa Rica,DEF,4,0
55988,2057980,C. Bolaños,Costa Rica,MID,0,1
105333,2057980,Willian,Brazil,MID,0,1
105334,2057980,Douglas Costa,Brazil,MID,0,2
125250,2057980,Ó. Duarte,Costa Rica,DEF,2,0
125284,2057980,J. Acosta,Costa Rica,DEF,3,0
125286,2057980,G. González,Costa Rica,DEF,1,0
125512,2057980,F. Calvo,Costa Rica,DEF,1,0
383,2057981,D. Tadić,Serbia,MID,0,2
7891,2057981,B. Ivanović,Serbia,DEF,9,0
8306,2057981,A. Kolarov,Serbia,DEF,14,1
14922,2057981,R. Rodríguez,Switzerland,DEF,4,5
20465,2057981,S. Lichtsteiner,Switzerland,DEF,14,0
49872,2057981,X. Shaqiri,Switzerland,MID,0,2
3310,2057982,Marcelo,Brazil,DEF,4,0
3434,2057982,Filipe Luis,Brazil,DEF,7,0
8306,2057982,A. Kolarov,Serbia,DEF,6,2
15214,2057982,A. Rukavina,Serbia,DEF,5,0
20941,2057982,A. Ljajić,Serbia,FWD,1,3
40707,2057982,Fágner,Brazil,DEF,8,0
