player_id,match_id,name,team,pos
288091,2057965,Marco Asensio,Spain,MID
396475,2057965,A. Hakimi,Morocco,DEF
447821,2057965,Y. En-Nesyri,Morocco,FWD
54,2057967,C. Eriksen,Denmark,MID
405,2057967,L. Schöne,Denmark,MID
8480,2057967,K. Schmeichel,Denmark,GKP
14872,2057967,J. Farfán,Peru,FWD
14909,2057967,P. Guerrero,Peru,FWD
15080,2057967,N. Jørgensen,Denmark,FWD
20433,2057967,S. Kjær,Denmark,DEF
55968,2057967,M. Braithwaite,Denmark,FWD
55979,2057967,M. Jørgensen,Denmark,DEF
55990,2057967,T. Delaney,Denmark,MID
56026,2057967,J. Stryger Larsen,Denmark,DEF
56274,2057967,Y. Poulsen,Denmark,FWD
56394,2057967,H. Dalsgaard,Denmark,DEF
70156,2057967,A. Carrillo,Peru,MID
89571,2057967,R. Ruidíaz,Peru,FWD
114617,2057967,C. Ramos,Peru,DEF
114709,2057967,L. Advíncula,Peru,DEF
114723,2057967,Y. Yotún,Peru,MID
114762,2057967,É. Flores,Peru,MID
114798,2057967,P. Gallese,Peru,GKP
114813,2057967,C. Cueva,Peru,MID
115146,2057967,M. Trauco,Peru,DEF
135103,2057967,A. Christensen,Denmark,DEF
139075,2057967,R. Tapia,Peru,MID
139078,2057967,P. Aquino,Peru,MID
241945,2057967,P. Sisto,Denmark,MID
3309,2057968,R. Varane,France,DEF
3682,2057968,A. Griezmann,France,FWD
7936,2057968,P. Pogba,France,MID
8200,2057968,S. N'Zonzi,France,MID
14872,2057968,J. Farfán,Peru,FWD
14909,2057968,P. Guerrero,Peru,FWD
25381,2057968,H. Lloris,France,GKP
25397,2057968,S. Umtiti,France,DEF
25437,2057968,B. Matuidi,France,MID
26010,2057968,O. Giroud,France,FWD
28115,2057968,N. Fekir,France,MID
31528,2057968,N. Kanté,France,MID
70156,2057968,A. Carrillo,Peru,MID
89571,2057968,R. Ruidíaz,Peru,FWD
114617,2057968,C. Ramos,Peru,DEF
114709,2057968,L. Advíncula,Peru,DEF
114723,2057968,Y. Yotún,Peru,MID
114762,2057968,É. Flores,Peru,MID
114798,2057968,P. Gallese,Peru,GKP
114813,2057968,C. Cueva,Peru,MID
115146,2057968,M. Trauco,Peru,DEF
115353,2057968,A. Santamaría,Peru,DEF
139078,2057968,P. Aquino,Peru,MID
279545,2057968,L. Hernández,France,DEF
286390,2057968,O. Dembélé,France,FWD
340646,2057968,B. Pavard,France,DEF
353833,2057968,K. Mbappé,France,FWD
54,2057970,C. Eriksen,Denmark,MID
1722,2057970,V. Fischer,Denmark,FWD
3309,2057970,R. Varane,France,DEF
3682,2057970,A. Griezmann,France,FWD
8200,2057970,S. N'Zonzi,France,MID
8480,2057970,K. Schmeichel,Denmark,GKP
20433,2057970,S. Kjær,Denmark,DEF
25552,2057970,S. Mandanda,France,GKP
26010,2057970,O. Giroud,France,FWD
26136,2057970,B. Mendy,France,DEF
26196,2057970,D. Sidibé,France,DEF
28115,2057970,N. Fekir,France,MID
28922,2057970,T. Lemar,France,MID
31528,2057970,N. Kanté,France,MID
55968,2057970,M. Braithwaite,Denmark,FWD
55979,2057970,M. Jørgensen,Denmark,DEF
55990,2057970,T. Delaney,Denmark,MID
56026,2057970,J. Stryger Larsen,Denmark,DEF
56394,2057970,H. Dalsgaard,Denmark,DEF
135103,2057970,A. Christensen,Denmark,DEF
135150,2057970,A. Cornelius,Denmark,FWD
231138,2057970,P. Kimpembe,France,DEF
241945,2057970,P. Sisto,Denmark,MID
279545,2057970,L. Hernández,France,DEF
281254,2057970,K. Dolberg,Denmark,FWD
286390,2057970,O. Dembélé,France,FWD
353833,2057970,K. Mbappé,France,FWD
93,2057972,J. Guðmunds­son,Iceland,MID
3280,2057972,É. Banega,Argentina,MID
3314,2057972,Á. di María,Argentina,MID
3323,2057972,G. Higuaín,Argentina,FWD
3355,2057972,J. Mascherano,Argentina,DEF
3359,2057972,L. Messi,Argentina,FWD
3445,2057972,E. Salvio,Argentina,MID
3551,2057972,W. Caballero,Argentina,GKP
8325,2057972,S. Agüero,Argentina,FWD
21314,2057972,E. Hallfreðsson,Iceland,MID
37732,2057972,L. Biglia,Argentina,MID
37948,2057972,A. Finnbogason,Iceland,FWD
38084,2057972,B. Bjarnason,Iceland,MID
51127,2057972,A. Skúlason,Iceland,DEF
54451,2057972,B. Sævarsson,Iceland,DEF
54495,2057972,B. Sigurðarson,Iceland,FWD
55983,2057972,R. Sigurðsson,Iceland,DEF
56146,2057972,R. Gíslason,Iceland,FWD
57226,2057972,H. Halldórsson,Iceland,GKP
62221,2057972,K. Árnason,Iceland,DEF
70086,2057972,N. Otamendi,Argentina,DEF
77521,2057972,A. Gunnarsson,Iceland,MID
77558,2057972,G. Sigurðsson,Iceland,MID
86722,2057972,N. Tagliafico,Argentina,DEF
135207,2057972,H. Magnússon,Iceland,DEF
146459,2057972,M. Meza,Argentina,MID
285396,2057972,C. Pavón,Argentina,FWD
3476,2057973,I. Rakitić,Croatia,MID
5295,2057973,O. Ighalo,Nigeria,FWD
7898,2057973,J. Obi Mikel,Nigeria,MID
8287,2057973,L. Modrić,Croatia,MID
8625,2057973,V. Moses,Nigeria,MID
11093,2057973,W. Troost-Ekong,Nigeria,DEF
14812,2057973,I. Perišić,Croatia,MID
14943,2057973,M. Mandžukić,Croatia,FWD
16443,2057973,L. Balogun,Nigeria,DEF
25393,2057973,D. Lovren,Croatia,DEF
69396,2057973,D. Vida,Croatia,DEF
69404,2057973,M. Kovačić,Croatia,MID
69409,2057973,Š. Vrsaljko,Croatia,DEF
69411,2057973,A. Kramarić,Croatia,FWD
69616,2057973,A. Rebić,Croatia,FWD
69968,2057973,M. Brozović,Croatia,MID
72397,2057973,Simy,Nigeria,FWD
101606,2057973,A. Musa,Nigeria,FWD
105361,2057973,I. Strinić,Croatia,DEF
135747,2057973,D. Subašić,Croatia,GKP
135810,2057973,M. Pjaca,Croatia,FWD
209792,2057973,B. Idowu,Nigeria,DEF
230020,2057973,A. Iwobi,Nigeria,MID
265366,2057973,W. Ndidi,Nigeria,MID
265368,2057973,A. Shehu,Nigeria,DEF
285491,2057973,F. Uzoho,Nigeria,GKP
285508,2057973,K. Iheanacho,Nigeria,FWD
424624,2057973,O. Etebo,Nigeria,FWD
3323,2057974,G. Higuaín,Argentina,FWD
3355,2057974,J. Mascherano,Argentina,DEF
3359,2057974,L. Messi,Argentina,FWD
3445,2057974,E. Salvio,Argentina,MID
3476,2057974,I. Rakitić,Croatia,MID
3551,2057974,W. Caballero,Argentina,GKP
8287,2057974,L. Modrić,Croatia,MID
8325,2057974,S. Agüero,Argentina,FWD
14771,2057974,V. Ćorluka,Croatia,DEF
14812,2057974,I. Perišić,Croatia,MID
14943,2057974,M. Mandžukić,Croatia,FWD
25393,2057974,D. Lovren,Croatia,DEF
69396,2057974,D. Vida,Croatia,DEF
69404,2057974,M. Kovačić,Croatia,MID
69409,2057974,Š. Vrsaljko,Croatia,DEF
69411,2057974,A. Kramarić,Croatia,FWD
69616,2057974,A. Rebić,Croatia,FWD
69968,2057974,M. Brozović,Croatia,MID
70086,2057974,N. Otamendi,Argentina,DEF
86220,2057974,G. Mercado,Argentina,DEF
86234,2057974,E. Pérez,Argentina,MID
86722,2057974,N. Tagliafico,Argentina,DEF
89073,2057974,M. Acuña,Argentina,MID
89186,2057974,P. Dybala,Argentina,FWD
105361,2057974,I. Strinić,Croatia,DEF
135747,2057974,D. Subašić,Croatia,GKP
146459,2057974,M. Meza,Argentina,MID
285396,2057974,C. Pavón,Argentina,FWD
